sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x1d       | FAN3 Speed       | 11475.000  | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x1f       | FAN4 Speed       | 11475.000  | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xaa       | NPU1 Power       | 25.200     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xab       | NPU1 AICORE Temp | na         | degrees C    | na     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xac       | NPU1 Outlet Temp | 33.000     | degrees C    | ok     | na         | na         | na         | 90.000   | na         | na         | 2.000  | 2.000 
0xad       | NPU1 Inlet Temp  | 30.000     | degrees C    | ok     | na         | na         | na         | 90.000   | na         | na         | 2.000  | 2.000 
0xae       | NPU2 Power       | 26.400     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xaf       | NPU2 AICORE Temp | na         | degrees C    | na     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xb0       | NPU2 Outlet Temp | 33.000     | degrees C    | ok     | na         | na         | na         | 90.000   | na         | na         | 2.000  | 2.000 
0xb1       | NPU2 Inlet Temp  | 30.000     | degrees C    | ok     | na         | na         | na         | 90.000   | na         | na         | 2.000  | 2.000 
0xb2       | NPU4 Power       | 26.400     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xb3       | NPU4 AICORE Temp | na         | degrees C    | na     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xb4       | NPU4 Outlet Temp | 33.000     | degrees C    | ok     | na         | na         | na         | 90.000   | na         | na         | 2.000  | 2.000 
0xb5       | NPU4 Inlet Temp  | 30.000     | degrees C    | ok     | na         | na         | na         | 90.000   | na         | na         | 2.000  | 2.000 
0xb6       | NPU5 Power       | 25.200     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xb7       | NPU5 AICORE Temp | na         | degrees C    | na     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xb8       | NPU5 Outlet Temp | 33.000     | degrees C    | ok     | na         | na         | na         | 90.000   | na         | na         | 2.000  | 2.000 
0xb9       | NPU5 Inlet Temp  | 30.000     | degrees C    | ok     | na         | na         | na         | 90.000   | na         | na         | 2.000  | 2.000 
0x39       | CPU1 Prochot     | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x3a       | CPU2 Prochot     | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x3b       | System Notice    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x3c       | System Error     | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x3d       | CPU1 Status      | 0x0        | discrete     | 0x8080 | na         | na         | na         | na       | na         | na         | na     | na    
0x3e       | CPU2 Status      | 0x0        | discrete     | 0x8080 | na         | na         | na         | na       | na         | na         | na     | na    
0x3f       | CPU1 Memory      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x40       | CPU2 Memory      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x41       | DIMM000          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x42       | DIMM001          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x43       | DIMM010          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x44       | DIMM011          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x45       | DIMM020          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x46       | DIMM021          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x47       | DIMM030          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x48       | DIMM031          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x49       | DIMM040          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x4a       | DIMM041          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x4b       | DIMM050          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x4c       | DIMM051          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x4d       | DIMM060          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x4e       | DIMM061          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x4f       | DIMM070          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x50       | DIMM071          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x51       | DIMM100          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x52       | DIMM101          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x53       | DIMM110          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
