"id": "1","label": "power"#"id": "2","label": "power_aver"#"id": "3","label": "power_peak"#
2025/07/16 08:48:58#582#588#648
2025/07/16 08:58:58#636#587#648
2025/07/16 09:08:58#570#582#648
2025/07/16 09:19:00#564#576#642
2025/07/16 09:29:01#576#573#648
2025/07/16 09:39:03#570#580#648
2025/07/16 09:49:05#570#576#636
2025/07/16 09:59:06#582#582#642
2025/07/16 10:09:08#582#583#642
2025/07/16 10:19:10#570#583#642
2025/07/16 10:29:11#630#586#648
2025/07/16 10:39:11#576#586#654
2025/07/16 10:49:11#558#585#654
2025/07/16 10:59:11#570#576#648
2025/07/16 11:09:13#594#585#648
2025/07/16 11:19:15#564#586#642
2025/07/16 11:29:16#600#582#648
2025/07/16 11:39:16#600#579#642
2025/07/16 11:49:16#570#583#648
2025/07/16 11:59:16#594#583#642
2025/07/16 12:09:18#582#583#648
2025/07/16 12:19:20#570#582#654
2025/07/16 12:29:21#600#579#642
2025/07/16 12:39:21#588#584#654
2025/07/16 12:49:21#576#586#636
2025/07/16 12:59:21#588#584#654
2025/07/16 13:09:23#606#590#654
2025/07/16 13:19:24#552#588#648
2025/07/16 13:29:24#636#578#642
2025/07/16 13:39:24#588#583#648
2025/07/16 13:49:24#582#587#648
2025/07/16 13:59:26#576#575#648
2025/07/16 14:09:28#570#585#654
2025/07/16 14:19:29#576#585#648
2025/07/16 14:29:29#582#588#648
2025/07/16 14:39:29#600#590#648
2025/07/16 14:49:31#588#584#648
2025/07/16 14:59:31#588#585#648
2025/07/16 15:09:33#594#584#642
2025/07/16 15:19:34#588#589#642
2025/07/16 15:29:36#636#583#654
2025/07/16 15:39:36#570#586#654
2025/07/16 15:49:36#570#579#642
2025/07/16 15:59:38#594#580#642
2025/07/16 16:09:40#570#592#648
2025/07/16 16:19:41#564#585#648
2025/07/16 16:29:41#582#579#642
2025/07/16 16:39:41#594#589#648
2025/07/16 16:49:41#552#579#648
2025/07/16 16:59:43#582#580#648
2025/07/16 17:09:44#618#587#648
2025/07/16 17:19:46#594#586#648
2025/07/16 17:29:46#582#588#648
2025/07/16 17:39:46#576#586#642
2025/07/16 17:49:48#588#589#648
2025/07/16 17:59:50#600#586#642
2025/07/16 18:09:51#582#587#642
2025/07/16 18:19:51#594#587#654
2025/07/16 18:29:51#594#589#654
2025/07/16 18:39:51#594#588#642
2025/07/16 18:49:53#588#588#648
2025/07/16 18:59:55#588#587#636
2025/07/16 19:09:56#588#588#642
2025/07/16 19:19:56#642#582#642
2025/07/16 19:29:56#582#588#648
2025/07/16 19:39:56#630#581#642
2025/07/16 19:49:58#588#579#642
2025/07/16 20:00:00#576#581#648
2025/07/16 20:10:01#588#585#642
2025/07/16 20:20:02#582#588#642
2025/07/16 20:30:04#594#585#648
2025/07/16 20:40:06#582#589#648
2025/07/16 20:50:08#540#559#642
2025/07/16 21:00:08#576#585#642
2025/07/16 21:10:09#582#589#648
2025/07/16 21:20:09#588#588#648
2025/07/16 21:30:09#582#587#642
2025/07/16 21:40:11#582#587#648
2025/07/16 21:50:13#600#586#648
2025/07/16 22:00:14#606#588#654
2025/07/16 22:10:14#588#588#648
2025/07/16 22:20:14#582#588#648
2025/07/16 22:30:14#576#589#648
2025/07/16 22:40:14#576#583#648
2025/07/16 22:50:16#558#580#648
2025/07/16 23:00:17#558#572#642
2025/07/16 23:10:20#564#572#642
2025/07/16 23:20:22#576#573#642
2025/07/16 23:30:24#588#573#648
2025/07/16 23:40:24#576#576#642
2025/07/16 23:50:26#564#574#642
2025/07/17 00:00:27#570#573#642
2025/07/17 00:10:27#570#573#648
2025/07/17 00:20:27#570#572#642
2025/07/17 00:30:29#582#574#642
2025/07/17 00:40:31#558#574#642
2025/07/17 00:50:33#570#574#648
2025/07/17 01:00:34#570#573#648
2025/07/17 01:10:35#570#572#648
2025/07/17 01:20:37#558#569#636
2025/07/17 01:30:39#582#584#648
2025/07/17 01:40:41#594#589#642
2025/07/17 01:50:42#552#585#648
2025/07/17 02:00:42#570#571#648
2025/07/17 02:10:42#570#571#642
2025/07/17 02:20:42#564#570#636
2025/07/17 02:30:44#558#571#648
2025/07/17 02:40:46#576#570#636
2025/07/17 02:50:47#588#572#648
2025/07/17 03:00:47#594#590#648
2025/07/17 03:10:47#594#592#648
2025/07/17 03:20:49#600#589#648
2025/07/17 03:30:51#582#583#648
2025/07/17 03:40:53#564#570#642
2025/07/17 03:50:54#588#567#642
2025/07/17 04:00:54#570#570#648
2025/07/17 04:10:54#546#570#648
2025/07/17 04:20:56#606#580#648
2025/07/17 04:30:58#600#588#654
2025/07/17 04:41:00#630#590#642
2025/07/17 04:51:01#594#587#642
2025/07/17 05:01:02#630#590#642
2025/07/17 05:11:04#576#580#642
2025/07/17 05:21:06#564#573#654
2025/07/17 05:31:08#558#569#642
2025/07/17 05:41:09#564#572#648
2025/07/17 05:51:09#570#580#642
2025/07/17 06:01:09#588#588#648
2025/07/17 06:11:09#588#589#654
2025/07/17 06:21:11#630#591#642
2025/07/17 06:31:13#582#590#654
2025/07/17 06:41:14#564#587#648
2025/07/17 06:51:14#588#587#642
2025/07/17 07:01:14#564#580#648
2025/07/17 07:11:14#558#577#654
2025/07/17 07:21:16#594#592#660
2025/07/17 07:31:18#588#596#666
2025/07/17 07:41:19#582#588#648
2025/07/17 07:51:20#600#598#648
2025/07/17 08:01:22#594#597#660
2025/07/17 08:11:24#594#596#660
2025/07/17 08:21:26#600#597#654
2025/07/17 08:31:28#588#597#654
2025/07/17 08:41:28#582#596#654
2025/07/17 08:51:30#582#587#654
2025/07/17 09:01:30#594#595#660
2025/07/17 09:11:32#588#592#660
2025/07/17 09:21:34#588#586#648
2025/07/17 09:31:35#588#585#654
2025/07/17 09:41:36#594#583#648
2025/07/17 09:51:38#582#584#654
2025/07/17 10:01:40#582#585#642
2025/07/17 10:11:42#594#585#648
2025/07/17 10:21:44#594#585#648
2025/07/17 10:31:45#606#596#660
2025/07/17 10:41:46#594#592#654
2025/07/17 10:51:48#576#596#648
2025/07/17 11:01:50#594#594#648
2025/07/17 11:11:52#558#591#654
2025/07/17 11:21:54#540#552#618
2025/07/17 11:31:55#546#552#630
2025/07/17 11:41:55#576#561#636
2025/07/17 11:51:55#588#609#666
2025/07/17 12:01:55#606#606#648
2025/07/17 12:11:57#612#604#648
2025/07/17 12:21:58#600#602#660
2025/07/17 12:31:58#588#604#648
2025/07/17 12:41:58#594#603#654
2025/07/17 12:52:00#624#604#648
2025/07/17 13:02:02#588#603#654
2025/07/17 13:12:02#582#604#648
2025/07/17 13:22:03#576#604#654
2025/07/17 13:32:03#582#602#648
2025/07/17 13:42:03#588#604#648
2025/07/17 13:52:05#624#597#654
2025/07/17 14:02:07#594#590#648
2025/07/17 14:12:09#576#590#648
2025/07/17 14:22:11#588#587#648
2025/07/17 14:32:11#582#588#648
2025/07/17 14:42:13#588#586#654
2025/07/17 14:52:15#582#586#648
2025/07/17 15:02:17#582#589#642
2025/07/17 15:12:19#594#588#648
2025/07/17 15:22:21#576#588#648
2025/07/17 15:32:23#606#585#648
2025/07/17 15:42:25#570#588#642
2025/07/17 15:52:27#594#587#642
2025/07/17 16:02:27#630#589#642
2025/07/17 16:12:28#582#592#654
2025/07/17 16:22:28#570#589#654
2025/07/17 16:32:28#588#589#654
2025/07/17 16:42:30#588#589#654
2025/07/17 16:52:32#588#589#648
2025/07/17 17:02:34#564#587#654
2025/07/17 17:12:36#582#588#642
2025/07/17 17:22:36#576#587#642
2025/07/17 17:32:38#576#588#648
2025/07/17 17:42:40#594#589#642
2025/07/17 17:52:42#588#588#654
2025/07/17 18:02:44#594#589#648
